#header_line_1: mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER mlx  -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.49,bandwith:5693.21
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.49,0,0.49,99.99
1,100,0.44,2.26,0.49,100.27
2,100,0.43,4.62,0.49,100.54
4,100,0.44,9.17,0.49,101.09
8,100,0.44,18.13,0.49,102.19
16,100,0.44,36.36,0.49,104.39
32,100,0.59,53.87,0.5,108.78
64,100,0.62,103.72,0.5,117.56
128,100,0.92,139.89,0.51,135.11
256,100,1.09,234.68,0.53,170.22
512,100,1.26,405.15,0.58,240.48
1024,100,1.5,682.06,0.67,381.39
2048,100,2.21,924.89,0.85,662.59
4096,100,3.27,1254.31,1.21,1204.19
8192,100,4.84,1694.06,1.93,2129.16
16384,100,5.55,2953.85,3.37,3404.43
32768,100,7.22,4536.15,6.25,4462.32
65536,100,10.11,6479.72,12,5332.31
131072,100,21.3,6154.22,23.51,6587.34
262144,100,34.58,7580.72,46.53,7715.58
524288,100,64.52,8125.8,92.58,8213.85
1048576,98,116.96,8965.02,184.67,8852.91
2097152,98,228.42,9181.06,368.84,9400.54
4194304,96,456.35,9191.03,737.2,9277.27
8388608,94,911.85,9199.54,1473.91,8858.46
16777216,88,1837.33,9131.28,2947.32,8212.39
33554432,80,5293.39,6338.93,5894.16,7362.62
67108864,66,11784.12,5694.85,11787.83,6163.81
134217728,50,23554.25,5698.24,23575.16,5045.33
268435456,32,47329.07,5671.68,47149.83,5818.14
