#header_line_1: mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER sockets  -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:9.50,bandwith:3292.7
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,9.5,0,9.5,-1.99
1,100,9.53,0.1,9.5,-1.95
2,100,9.6,0.21,9.5,-1.91
4,100,9.61,0.42,9.5,-1.83
8,100,9.54,0.84,9.5,-1.68
16,100,9.51,1.68,9.5,-1.36
32,100,9.58,3.34,9.51,-0.74
64,100,9.66,6.63,9.52,0.52
128,100,9.78,13.08,9.54,3.01
256,100,15.65,16.35,9.58,7.98
512,100,17.9,28.61,9.66,18.3
1024,100,24.06,42.57,9.81,41.58
2048,100,20.89,98.03,10.12,96.59
4096,100,21.2,193.19,10.74,221.13
8192,100,21.81,375.63,11.99,443.83
16384,100,22.05,742.94,14.48,763.35
32768,100,28.39,1154.24,19.45,1073.38
65536,100,46.25,1416.86,29.4,1400.91
131072,100,72.35,1811.67,49.31,1870.12
262144,100,120.49,2175.71,89.11,2276.42
524288,100,207.19,2530.5,168.73,2418.2
1048576,98,389.27,2693.7,327.96,2597.15
2097152,98,753.89,2781.76,646.41,2775.68
4194304,96,1508.61,2780.24,1283.32,2830.57
8388608,94,3034.08,2764.79,2557.14,2879.15
16777216,88,5745.11,2920.26,5104.79,2959.27
33554432,80,10485.87,3199.97,10200.08,3077.36
67108864,66,20328.35,3301.25,20390.66,3247.98
134217728,50,40430.77,3319.69,40771.82,3402.06
268435456,32,81624.86,3288.65,81534.13,3269.84
