#header_line_1: mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER sockets  -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:6.62,bandwith:5284.76
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,6.62,0,6.62,2.07
1,100,6.49,0.15,6.62,2.09
2,100,6.61,0.3,6.62,2.12
4,100,6.52,0.61,6.62,2.16
8,100,6.59,1.21,6.62,2.25
16,100,6.64,2.41,6.62,2.43
32,100,6.53,4.9,6.63,2.79
64,100,6.6,9.69,6.63,3.51
128,100,6.59,19.41,6.64,4.88
256,100,10.55,24.27,6.67,7.58
512,100,12.06,42.44,6.72,14.29
1024,100,15.3,66.94,6.81,37.18
2048,100,13.48,151.94,7.01,114.32
4096,100,13.87,295.27,7.4,329.84
8192,100,14.3,572.77,8.17,724.66
16384,100,14.33,1143.57,9.72,1272.87
32768,100,16.46,1991.15,12.82,1741.59
65536,100,30.4,2155.87,19.02,2150.19
131072,100,49.66,2639.31,31.42,2741.62
262144,100,84.07,3118.14,56.22,3280.39
524288,100,141.07,3716.48,105.83,3539.9
1048576,98,257.37,4074.19,205.04,3900.16
2097152,98,496.25,4225.98,403.46,4302.78
4194304,96,922.51,4546.64,800.29,4559.76
8388608,94,1789.26,4688.3,1593.97,4884.62
16777216,88,3112.19,5390.81,3181.32,5240.21
33554432,80,6288.05,5336.22,6356.02,5346.39
67108864,66,12546.82,5348.67,12705.41,5347.91
134217728,50,25208.07,5324.39,25404.21,5334.08
268435456,32,50943.28,5269.3,50801.8,5266.68
