#header_line_1: mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER tcp  -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:9.51,bandwith:3324.43
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,9.51,0,9.51,7.34
1,100,8.05,0.12,9.51,7.46
2,100,8.1,0.25,9.51,7.57
4,100,8.08,0.49,9.51,7.81
8,100,8.15,0.98,9.51,8.28
16,100,8.17,1.96,9.51,9.22
32,100,8.11,3.94,9.52,11.1
64,100,8.41,7.61,9.53,14.87
128,100,8.31,15.4,9.55,22.45
256,100,8.38,30.55,9.59,37.61
512,100,10.91,46.95,9.66,66.88
1024,100,11.13,92.04,9.82,117.9
2048,100,10.85,188.76,10.13,194.26
4096,100,12.13,337.67,10.74,287.71
8192,100,13.74,596.41,11.97,430.16
16384,100,24.33,673.41,14.44,642.4
32768,100,36.32,902.17,19.37,876.07
65536,100,58.72,1116.11,29.22,1166.27
131072,100,109.36,1198.5,48.94,1605.66
262144,100,125.48,2089.21,88.36,2076.98
524288,100,188.73,2777.91,167.22,2477.07
1048576,98,317.77,3299.8,324.92,3044.72
2097152,98,613.07,3420.74,640.33,3571.08
4194304,96,1220.72,3435.92,1271.16,3604.68
8388608,94,2402.74,3491.27,2532.8,3506.83
16777216,88,4776.7,3512.3,5056.09,3396.31
33554432,80,10129.55,3312.53,10102.68,3351.24
67108864,66,20244.12,3314.98,20195.85,3328.12
134217728,50,40425.05,3320.16,40382.18,3307.62
268435456,32,80740.43,3324.67,80754.85,3327.17
