#header_line_1: mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER tcp  -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:5.44,bandwith:5325.83
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,5.44,0,5.44,10.33
1,100,4.89,0.2,5.44,10.54
2,100,4.78,0.42,5.44,10.74
4,100,4.8,0.83,5.44,11.16
8,100,4.8,1.67,5.44,12
16,100,4.84,3.31,5.44,13.67
32,100,4.84,6.61,5.45,17.01
64,100,4.78,13.4,5.45,23.71
128,100,4.78,26.77,5.46,37.19
256,100,4.79,53.48,5.49,64.18
512,100,6.81,75.13,5.54,115.98
1024,100,6.97,146.91,5.63,204.32
2048,100,6.83,299.76,5.82,328.94
4096,100,7.58,540.03,6.21,459.8
8192,100,8.66,945.93,6.98,646.62
16384,100,15.52,1055.37,8.52,928.37
32768,100,23.73,1380.63,11.59,1250.17
65536,100,46.71,1402.99,17.75,1665.24
131072,100,88.1,1487.74,30.05,2298.5
262144,100,78.54,3337.69,54.66,2995.06
524288,100,129.16,4059.2,103.88,3623.39
1048576,98,223.49,4691.78,202.33,4523.3
2097152,98,407.95,5140.71,399.21,5373.58
4194304,96,782.6,5359.42,792.98,5481.4
8388608,94,1537.91,5454.54,1580.53,5416.7
16777216,88,3083.46,5441.03,3155.61,5344.45
33554432,80,6385.28,5254.97,6305.79,5317.95
67108864,66,12676.94,5293.77,12606.14,5309.05
134217728,50,25181.55,5330,25206.83,5305.45
268435456,32,50398.97,5326.21,50408.22,5331.7
