#header_line_1: mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS shm  -genv I_MPI_PIN_PROCESSOR_LIST 0,i  ./IMB_intel-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.78,bandwith:5587.04
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.78,0,0.78,29.9
1,100,0.91,1.1,0.78,33.35
2,100,0.22,8.93,0.78,36.79
4,100,0.23,17.77,0.78,43.69
8,100,0.22,35.58,0.78,57.5
16,100,0.23,70.62,0.78,85.17
32,100,0.24,135.04,0.79,140.38
64,100,0.24,268.39,0.79,247.61
128,100,0.25,516.3,0.8,444.57
256,100,0.28,914.8,0.83,780.12
512,100,0.43,1180.04,0.87,1315.77
1024,100,0.45,2298.69,0.96,2179.02
2048,100,0.62,3296.49,1.15,3294.69
4096,100,0.98,4171.77,1.51,4150.49
8192,100,1.63,5031.74,2.25,5087.72
16384,100,2.71,6052.66,3.71,6270.62
32768,100,4.59,7131.23,6.64,6857.68
65536,100,9.76,6715.11,12.51,6702.81
131072,100,20.73,6323.8,24.24,6499.34
262144,100,41.39,6332.94,47.7,6419.74
524288,100,76.64,6840.94,94.62,6641.72
1048576,98,148.24,7073.3,188.46,6983.75
2097152,98,294.07,7131.55,376.14,7264.16
4194304,96,592.15,7083.2,751.5,7156.34
8388608,94,1211.68,6923.12,1502.21,6875.39
16777216,88,2415.75,6944.92,3003.64,6516.21
33554432,80,5792.41,5792.82,6006.5,6226.85
67108864,66,11614.97,5777.79,12012.22,5883.94
134217728,50,23436.96,5726.76,24023.66,5525.61
268435456,32,48515.12,5533.03,48046.54,5579.51
