#header_line_1: mpirun -np 2 --mca pml ob1 --report-bindings -map-by core  --mca btl tcp,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:6,bandwith:5244.72
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,6,0,6,6.46
1,100,6.03,0.17,6,6.65
2,100,6.08,0.33,6,6.84
4,100,6.08,0.66,6,7.22
8,100,6.07,1.32,6,7.98
16,100,6.11,2.62,6,9.5
32,100,5.3,6.04,6.01,12.55
64,100,5.4,11.85,6.01,18.65
128,100,5.9,21.7,6.02,30.9
256,100,5.91,43.32,6.05,55.39
512,100,5.83,87.75,6.1,103.33
1024,100,6.12,167.31,6.2,191.83
2048,100,5.9,346.88,6.39,342.99
4096,100,6.86,596.83,6.78,579.67
8192,100,7.48,1095.8,7.56,959.86
16384,100,9.93,1649.3,9.12,1471.03
32768,100,17.41,1882.61,12.25,1848.86
65536,100,36.75,1783.11,18.5,2091.49
131072,100,57.31,2287.13,30.99,2476.44
262144,100,90.47,2897.42,55.98,2960.57
524288,100,134.78,3889.91,105.96,3522.17
1048576,98,233.18,4496.89,205.93,4343.84
2097152,98,424.32,4942.33,405.85,5131.04
4194304,96,808.46,5188.03,805.71,5266.59
8388608,94,1584.14,5295.38,1605.42,5267.5
16777216,88,3148.77,5328.18,3204.83,5263.63
33554432,80,6441.36,5209.22,6403.66,5245.76
67108864,66,12916.29,5195.68,12801.33,5217.32
134217728,50,25697.25,5223.04,25596.66,5199.8
268435456,32,51107.34,5252.39,51187.32,5257.34
