#header_line_1: mpirun -np 2 --mca pml ucx --report-bindings -map-by core  --mca btl tcp,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.19,bandwith:6505.02
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.19,0,0.19,16.04
1,100,0.19,5.35,0.19,20.52
2,100,0.19,10.76,0.19,25
4,100,0.19,21.36,0.19,33.98
8,100,0.19,43.22,0.19,52
16,100,0.19,85.24,0.19,88.21
32,100,0.22,146.15,0.19,160.4
64,100,0.22,292.51,0.2,297.06
128,100,0.28,450.62,0.21,527.23
256,100,0.3,866.92,0.23,848.28
512,100,0.39,1307.01,0.27,1213.17
1024,100,0.51,2016.56,0.35,1765.33
2048,100,0.9,2287.37,0.5,2495.71
4096,100,1.35,3031.96,0.82,3111.32
8192,100,2.08,3935.06,1.45,3843.73
16384,100,3.36,4874.92,2.71,4794.9
32768,100,5.79,5655.32,5.23,5372.78
65536,100,12.57,5212.97,10.26,5509.51
131072,100,25.01,5239.96,20.34,5732.28
262144,100,43.36,6045.63,40.49,6045.19
524288,100,75.05,6986.06,80.79,6465.35
1048576,98,144.62,7250.72,161.38,7076.46
2097152,98,277.44,7558.9,322.57,7625.57
4194304,96,589.45,7115.64,644.96,7600.04
8388608,94,1095.44,7657.74,1289.72,7384
16777216,88,2264.16,7409.92,2579.25,7104.54
33554432,80,5133.69,6536.12,5158.31,6870.57
67108864,66,10307.82,6510.48,10316.43,6594.97
134217728,50,20656.88,6497.48,20632.68,6342
268435456,32,41285.35,6501.95,41265.16,6537.74
