#header_line_1: mpirun -np 2 --mca pml ucx --report-bindings -map-by core  --mca btl vader,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.24,bandwith:6509.86
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.24,0,0.24,32.45
1,100,0.2,4.93,0.24,35.75
2,100,0.2,10.22,0.24,39.06
4,100,0.39,10.26,0.24,45.68
8,100,0.2,40.76,0.24,58.95
16,100,0.2,79.99,0.24,85.56
32,100,0.23,138.62,0.24,138.62
64,100,0.23,278.78,0.25,240.61
128,100,0.3,423.97,0.26,421.99
256,100,0.35,731.31,0.28,710.7
512,100,0.41,1233.79,0.32,1129.07
1024,100,0.55,1857.65,0.4,1790.99
2048,100,0.78,2620.08,0.55,2643.03
4096,100,1.22,3356.69,0.87,3286.13
8192,100,2.14,3833.36,1.5,3986.6
16384,100,3.47,4720.75,2.76,4898.06
32768,100,5.65,5802.75,5.27,5458.64
65536,100,11.58,5660.28,10.31,5606.52
131072,100,24.36,5381.46,20.37,5845.01
262144,100,42.86,6116.56,40.51,6169.67
524288,100,74.73,7015.88,80.78,6589.08
1048576,98,144.11,7276,161.31,7197.81
2097152,98,279.78,7495.7,322.38,7744.85
4194304,96,547.33,7663.21,644.53,7719.28
8388608,94,1100.37,7623.46,1288.82,7501.66
16777216,88,2215.7,7571.97,2577.39,7211.58
33554432,80,5137.05,6531.85,5154.54,6943.41
67108864,66,10298.44,6516.41,10308.84,6611.95
134217728,50,20650.59,6499.46,20617.45,6309.21
268435456,32,41253.29,6507.01,41234.65,6551.21
