#header_line_1: mpirun -np 2 --mca pml ob1 --report-bindings -map-by core  --mca btl tcp,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:6.22,bandwith:5266.84
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,6.22,0,6.22,3.3
1,100,5.73,0.17,6.22,3.51
2,100,5.68,0.35,6.22,3.73
4,100,5.32,0.75,6.22,4.16
8,100,4.98,1.61,6.22,5.02
16,100,5.06,3.16,6.22,6.74
32,100,5.03,6.36,6.23,10.19
64,100,5.02,12.75,6.23,17.09
128,100,5.59,22.9,6.24,30.95
256,100,5.62,45.56,6.27,58.69
512,100,5.64,90.84,6.32,112.82
1024,100,5.78,177.15,6.41,211.53
2048,100,5.52,370.81,6.61,375.69
4096,100,6.47,632.68,7,621.75
8192,100,7.11,1151.78,7.78,1011.98
16384,100,9.5,1724.47,9.33,1537.22
32768,100,16.66,1966.3,12.44,1927.5
65536,100,35.36,1853.17,18.66,2181.08
131072,100,54.75,2393.8,31.11,2579.11
262144,100,85.85,3053.64,55.99,3064.46
524288,100,133.89,3915.83,105.77,3600.19
1048576,98,232.3,4513.94,205.31,4381.68
2097152,98,422.96,4958.27,404.41,5131.13
4194304,96,807.54,5193.94,802.59,5262.61
8388608,94,1582.24,5301.73,1598.97,5267.52
16777216,88,3144.52,5335.38,3191.72,5267.8
33554432,80,6458.46,5195.42,6377.21,5250.4
67108864,66,12882.21,5209.42,12748.2,5221.54
134217728,50,25662,5230.21,25490.19,5207.89
268435456,32,50847.63,5279.21,50974.15,5284.31
