#header_line_1: mpirun -np 2 --mca pml ucx --report-bindings -map-by core  --mca btl tcp,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.19,bandwith:6512.49
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.19,0,0.19,20.53
1,100,0.18,5.42,0.19,24.56
2,100,0.18,11.03,0.19,28.59
4,100,0.19,21.56,0.19,36.66
8,100,0.18,44.72,0.19,52.83
16,100,0.18,86.81,0.19,85.29
32,100,0.22,146.18,0.19,150.01
64,100,0.22,295.98,0.2,273.58
128,100,0.3,424.93,0.21,488.33
256,100,0.3,861.75,0.23,812.49
512,100,0.41,1260.29,0.27,1242.99
1024,100,0.49,2089.52,0.35,1913.17
2048,100,0.75,2729.03,0.5,2778.99
4096,100,1.17,3507.15,0.82,3442.81
8192,100,2.05,3999.89,1.45,4175.36
16384,100,3.29,4975.02,2.71,5126.48
32768,100,5.41,6061.38,5.22,5703.33
65536,100,11.31,5794.39,10.25,5836.22
131072,100,22.98,5704.32,20.32,6046.84
262144,100,39.99,6555.53,40.44,6323.46
524288,100,77.29,6783.4,80.7,6664.38
1048576,98,150.71,6957.43,161.2,7159.2
2097152,98,277.87,7547.34,322.21,7609.37
4194304,96,550.62,7617.46,644.23,7606.98
8388608,94,1094.86,7661.81,1288.27,7456.82
16777216,88,2225.95,7537.09,2576.35,7236.15
33554432,80,5140.91,6526.95,5152.51,6973.38
67108864,66,10300.01,6515.42,10304.83,6615.55
134217728,50,20640.04,6502.78,20609.48,6290.49
268435456,32,41235.94,6509.74,41218.77,6559.47
