#header_line_1: mpirun -np 2 --mca pml ob1 --report-bindings -map-by node  --mca btl tcp,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:15.78,bandwith:2502.09
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,15.78,0,15.78,3.63
1,100,15.83,0.06,15.78,3.66
2,100,15.74,0.13,15.78,3.69
4,100,15.74,0.25,15.78,3.75
8,100,15.69,0.51,15.78,3.88
16,100,15.71,1.02,15.79,4.12
32,100,15.78,2.03,15.79,4.61
64,100,15.73,4.07,15.81,5.59
128,100,16.57,7.73,15.83,7.55
256,100,16.65,15.37,15.88,11.46
512,100,16.67,30.72,15.98,19.31
1024,100,17.24,59.38,16.19,35.08
2048,100,36.87,55.55,16.6,66.75
4096,100,39.28,104.27,17.42,128.48
8192,100,37.4,219.04,19.05,236.94
16384,100,38.24,428.4,22.33,398.62
32768,100,60.24,544,28.88,576.82
65536,100,70.31,932.11,41.97,797.48
131072,100,133.98,978.31,68.17,1127.21
262144,100,188.66,1389.48,120.55,1464.77
524288,100,285.15,1838.67,225.32,1717.63
1048576,98,481.41,2178.14,434.86,2073.05
2097152,98,872.93,2402.42,853.95,2406.22
4194304,96,1788.66,2344.94,1692.11,2439.96
8388608,94,3575.2,2346.33,3368.45,2401.93
16777216,88,6988.89,2400.56,6721.12,2368.16
33554432,80,13854.13,2421.98,13426.45,2385.83
67108864,66,27442.26,2445.46,26837.13,2437.84
134217728,50,54241.65,2474.44,53658.47,2496.77
268435456,32,106779.57,2513.92,107301.17,2508.48
