#header_line_1: mpirun -np 2 --mca pml ob1 --report-bindings -map-by node  --mca btl tcp,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:16.94,bandwith:2227.25
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,16.94,0,16.94,1.33
1,100,17.39,0.06,16.94,1.37
2,100,17.02,0.12,16.94,1.4
4,100,17.53,0.23,16.94,1.46
8,100,16.95,0.47,16.94,1.58
16,100,16.82,0.95,16.95,1.83
32,100,17.25,1.85,16.95,2.34
64,100,17.46,3.67,16.97,3.34
128,100,17.95,7.13,17,5.34
256,100,18.16,14.1,17.05,9.34
512,100,18.63,27.49,17.17,17.35
1024,100,18.67,54.85,17.4,33.52
2048,100,38.24,53.56,17.86,66.09
4096,100,41.11,99.64,18.78,129.66
8192,100,38.41,213.28,20.62,240.21
16384,100,40.88,400.77,24.3,399.93
32768,100,62.87,521.17,31.65,559.03
65536,100,72.3,906.38,46.36,735.51
131072,100,147.12,890.91,75.79,1001.53
262144,100,222.07,1180.48,134.64,1283.04
524288,100,322.67,1624.82,252.34,1514.15
1048576,98,543.8,1928.25,487.73,1841.99
2097152,98,987.89,2122.86,958.52,2149.85
4194304,96,1949.44,2151.54,1900.11,2182.87
8388608,94,4035.7,2078.6,3783.28,2151.07
16777216,88,7854.89,2135.9,7549.61,2124.14
33554432,80,15339.17,2187.5,15082.29,2143.72
67108864,66,30260.59,2217.7,30147.64,2194.05
134217728,50,60766.07,2208.76,60278.34,2244.09
268435456,32,120207.07,2233.11,120539.74,2225.04
