#header_line_1: mpirun -np 2 --mca pml ucx --report-bindings -map-by node  --mca btl tcp,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:1,bandwith:12199.8
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,1,0,1,29.14
1,100,0.99,1.01,1,29.68
2,100,0.99,2.01,1,30.22
4,100,1.04,3.84,1,31.29
8,100,0.99,8.1,1,33.44
16,100,0.99,16.13,1,37.73
32,100,1.02,31.52,1,46.32
64,100,1.17,54.64,1.01,63.52
128,100,1.22,105.3,1.01,98.05
256,100,1.45,176.73,1.02,166.93
512,100,1.51,340.1,1.04,298.72
1024,100,1.68,608.84,1.08,523.24
2048,100,2.39,856.32,1.17,839.57
4096,100,3.39,1206.9,1.34,1171.12
8192,100,4.91,1667.92,1.67,1647.74
16384,100,6.91,2371.31,2.34,2382.68
32768,100,9.33,3511.76,3.69,3274.08
65536,100,14.51,4516.37,6.37,4472.59
131072,100,24.58,5332.83,11.74,6234.75
262144,100,32.84,7983.56,22.49,7928.53
524288,100,54.41,9635.91,43.97,8956.39
1048576,98,98.84,10608.78,86.95,10376.74
2097152,98,182.73,11476.98,172.89,11747.26
4194304,96,354.12,11844.14,344.79,12015.55
8388608,94,694.2,12083.85,688.58,12075.81
16777216,88,1374.41,12206.84,1376.16,12145.65
33554432,80,2752.42,12190.89,2751.32,12180.04
67108864,66,5495.57,12211.44,5501.63,12204.76
134217728,50,10994.47,12207.74,11002.27,12224.26
268435456,32,22008.44,12196.93,22003.54,12192.87
