#header_line_1: mpirun -np 2 --mca pml ob1 --report-bindings -map-by socket  --mca btl tcp,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:9.36,bandwith:3335.01
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,9.36,0,9.36,4.91
1,100,7.86,0.13,9.36,5.03
2,100,8.01,0.25,9.36,5.15
4,100,7.82,0.51,9.36,5.39
8,100,7.96,1.01,9.36,5.87
16,100,7.93,2.02,9.36,6.84
32,100,7.89,4.06,9.37,8.77
64,100,7.9,8.1,9.38,12.63
128,100,9.13,14.01,9.4,20.39
256,100,9.4,27.24,9.44,35.9
512,100,9.33,54.9,9.51,66.25
1024,100,9.63,106.38,9.67,122.25
2048,100,9.11,224.73,9.97,217.79
4096,100,10.85,377.52,10.59,367.2
8192,100,11.57,708.15,11.82,607.76
16384,100,15.83,1035.19,14.27,934.06
32768,100,26.5,1236.34,19.19,1185.79
65536,100,58.36,1123.01,29.01,1366.25
131072,100,84.65,1548.32,48.66,1647.52
262144,100,133.35,1965.77,87.96,1982.56
524288,100,209.46,2503.03,166.57,2337.6
1048576,98,346.87,3023,323.77,2853.59
2097152,98,651.68,3218.05,638.19,3346.34
4194304,96,1253.15,3347.01,1267.02,3425.9
8388608,94,2448.29,3426.32,2524.68,3416.74
16777216,88,4792.67,3500.6,5039.99,3401.14
33554432,80,10158.72,3303.02,10070.62,3377.03
67108864,66,20159.31,3328.93,20131.88,3341.9
134217728,50,40210.03,3337.92,40254.41,3310.67
268435456,32,80521.49,3333.71,80499.46,3340
