#header_line_1: mpirun -np 2 --mca pml ucx --report-bindings -map-by socket  --mca btl tcp,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.42,bandwith:5682.41
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.42,0,0.42,79.07
1,100,0.4,2.52,0.42,79.67
2,100,0.4,5.06,0.42,80.27
4,100,0.4,9.97,0.42,81.46
8,100,0.39,20.6,0.42,83.86
16,100,0.41,39.1,0.42,88.64
32,100,0.58,55.15,0.43,98.22
64,100,0.57,112.94,0.43,117.4
128,100,0.88,145.96,0.44,155.96
256,100,0.89,287.62,0.47,232.93
512,100,1.21,422.49,0.51,379.21
1024,100,1.33,767.46,0.6,620.5
2048,100,2.18,937.63,0.78,929.34
4096,100,3.22,1271.66,1.14,1159.36
8192,100,4.96,1650.39,1.86,1428.16
16384,100,7.59,2158.54,3.3,1873.19
32768,100,11.61,2821.57,6.19,2511.77
65536,100,20.19,3245.26,11.95,3481.52
131072,100,43.21,3033.18,23.49,4909.73
262144,100,36.65,7152.26,46.55,6288.53
524288,100,66.3,7908.21,92.68,7135.8
1048576,98,122.66,8548.34,184.95,8288.26
2097152,98,237.34,8835.98,369.47,9317.35
4194304,96,466.88,8983.68,738.53,9243.64
8388608,94,946.11,8866.45,1476.64,8771.77
16777216,88,1836.69,9134.47,2952.85,8081.13
33554432,80,5281.85,6352.78,5905.28,7264.98
67108864,66,11735.39,5718.5,11810.14,6149.12
134217728,50,23669.12,5670.58,23619.86,5100.93
268435456,32,47403.2,5662.81,47239.3,5789.38
