#header_line_1: mpirun -np 2 --mca pml ucx --report-bindings -map-by socket  --mca btl vader,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.44,bandwith:5721.95
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.44,0,0.44,78.7
1,100,0.4,2.52,0.44,79.28
2,100,0.39,5.15,0.44,79.86
4,100,0.4,9.93,0.44,81.02
8,100,0.39,20.59,0.44,83.34
16,100,0.4,40.08,0.44,87.99
32,100,0.56,57.65,0.45,97.28
64,100,0.55,116.7,0.45,115.91
128,100,0.97,132.34,0.46,153.36
256,100,1.02,250.79,0.48,228.17
512,100,1.28,400.15,0.53,370.29
1024,100,1.4,732.61,0.62,603.94
2048,100,2.26,908.13,0.8,899.79
4096,100,3.28,1247.26,1.16,1109.68
8192,100,5.08,1612.83,1.87,1347.03
16384,100,7.57,2163.95,3.3,1753.23
32768,100,12.31,2661.6,6.17,2376.16
65536,100,21.77,3009.7,11.89,3361.76
131072,100,46.49,2819.29,23.35,4821.59
262144,100,37,7084.4,46.25,6261.36
524288,100,64.16,8171.03,92.07,7216.5
1048576,98,117.45,8927.94,183.69,8524.99
2097152,98,231.56,9056.68,366.94,9682.3
4194304,96,455.64,9205.23,733.45,9561.36
8388608,94,911.93,9198.7,1466.45,8970.16
16777216,88,1829.03,9172.75,2932.47,8148.62
33554432,80,5277.02,6358.59,5864.49,7292.4
67108864,66,11682.78,5744.26,11728.54,6173.78
134217728,50,23528.61,5704.45,23456.65,5126.81
268435456,32,47053.75,5704.87,46912.86,5833.53
