#header_line_1: mpirun -np 2 --mca pml ob1 --report-bindings -map-by socket  --mca btl tcp,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:8.87,bandwith:3325.22
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,8.87,0,8.87,3.43
1,100,7.86,0.13,8.87,3.57
2,100,7.87,0.25,8.87,3.7
4,100,7.87,0.51,8.87,3.96
8,100,7.89,1.01,8.87,4.49
16,100,7.95,2.01,8.87,5.54
32,100,7.8,4.1,8.88,7.64
64,100,7.91,8.09,8.89,11.86
128,100,9.21,13.91,8.91,20.32
256,100,9.17,27.93,8.95,37.25
512,100,9.16,55.87,9.02,70.27
1024,100,9.4,108.88,9.18,130.32
2048,100,8.83,231.93,9.49,229.62
4096,100,10.49,390.3,10.1,377.14
8192,100,11.49,713.09,11.33,611.43
16384,100,15.87,1032.1,13.8,931.16
32768,100,26.55,1234.22,18.72,1184.91
65536,100,57.57,1138.3,28.58,1378.89
131072,100,83.19,1575.67,48.29,1678.1
262144,100,131.06,2000.16,87.71,2022.73
524288,100,206.79,2535.42,166.54,2365.66
1048576,98,344.82,3040.95,324.21,2861.98
2097152,98,653.14,3210.86,639.56,3336.7
4194304,96,1259.61,3329.84,1270.24,3415.75
8388608,94,2459.14,3411.2,2531.61,3410.94
16777216,88,4790.34,3502.3,5054.35,3399.71
33554432,80,10151.11,3305.49,10099.83,3375.51
67108864,66,20163.33,3328.26,20190.8,3337.68
134217728,50,40359.28,3325.57,40372.73,3302.81
268435456,32,80762.37,3323.77,80736.59,3329.05
