#header_line_1: mpirun -np 2 --mca pml ob1 --report-bindings -map-by socket  --mca btl vader,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.51,bandwith:3954.65
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.51,0,0.51,96.08
1,100,0.54,1.84,0.51,96.44
2,100,0.54,3.67,0.51,96.8
4,100,0.54,7.41,0.51,97.52
8,100,0.55,14.61,0.51,98.96
16,100,0.6,26.87,0.51,101.85
32,100,0.65,49.25,0.52,107.63
64,100,0.75,85.2,0.53,119.17
128,100,0.88,144.64,0.54,142.26
256,100,1.11,230.31,0.57,188.43
512,100,1.06,482.15,0.64,280.71
1024,100,1.42,720.48,0.77,464.92
2048,100,1.85,1109.31,1.03,829.42
4096,100,2.69,1520.86,1.55,1521.74
8192,100,3.21,2553.25,2.58,2675.27
16384,100,4.58,3576.58,4.65,4155.24
32768,100,6.71,4883.77,8.8,4983.92
65536,100,10.75,6094.4,17.08,5013.87
131072,100,26.74,4901.74,33.65,5047.23
262144,100,53.56,4894.2,66.8,5066.05
524288,100,106.83,4907.75,133.08,5045.71
1048576,98,214.65,4884.94,265.66,5008.18
2097152,98,422.96,4958.25,530.81,4956.15
4194304,96,840.85,4988.19,1061.11,4892.8
8388608,94,1716.79,4886.23,2121.7,4786.4
16777216,88,3415.84,4911.59,4242.9,4617.96
33554432,80,8412.51,3988.63,8485.28,4385.9
67108864,66,16966.26,3955.43,16970.06,4055.75
134217728,50,33970.45,3951.01,33939.61,3754.47
268435456,32,67942.23,3950.94,67878.71,3996.67
