#header_line_1: mpirun -np 2 --mca pml ucx --report-bindings -map-by socket  --mca btl tcp,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.42,bandwith:5682.88
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.42,0,0.42,79.21
1,100,0.42,2.37,0.42,79.82
2,100,0.39,5.15,0.42,80.43
4,100,0.4,10.06,0.42,81.66
8,100,0.39,20.46,0.42,84.12
16,100,0.41,39.42,0.42,89.04
32,100,0.56,56.72,0.43,98.86
64,100,0.56,113.45,0.43,118.57
128,100,0.95,134.73,0.44,158.17
256,100,0.91,280.92,0.47,237.25
512,100,1.24,412.01,0.51,387.71
1024,100,1.28,797.81,0.6,636.8
2048,100,2.15,954.23,0.78,959.18
4096,100,3.07,1335.36,1.14,1210.68
8192,100,4.63,1770.96,1.86,1512.01
16384,100,6.92,2366.89,3.3,1991.45
32768,100,11.38,2879.28,6.19,2621.13
65536,100,20,3276.43,11.95,3524.88
131072,100,46.06,2845.96,23.48,4869.12
262144,100,37.07,7072.18,46.55,6218.15
524288,100,64.95,8071.57,92.68,7166.1
1048576,98,118.82,8825.17,184.94,8473.18
2097152,98,230.73,9089.02,369.46,9629.68
4194304,96,461.76,9083.31,738.49,9510.36
8388608,94,910.62,9211.93,1476.56,8922.3
16777216,88,1844.62,9095.24,2952.7,8104.65
33554432,80,5301.7,6328.99,5904.99,7251.17
67108864,66,11772.69,5700.39,11809.56,6135.36
134217728,50,23668.6,5670.71,23618.69,5090.59
268435456,32,47389.3,5664.47,47236.97,5793.58
