Date,Value
23/06/21,1
24/06/21,1
25/06/21,0
26/06/21,0
27/06/21,0
28/06/21,0
29/06/21,0
30/06/21,1
01/07/21,1
02/07/21,1
03/07/21,0
04/07/21,1
05/07/21,1
06/07/21,0
07/07/21,1
08/07/21,0
09/07/21,0
10/07/21,0
11/07/21,0
12/07/21,0
13/07/21,0
14/07/21,0
15/07/21,0
16/07/21,1
17/07/21,0
18/07/21,1
19/07/21,1
20/07/21,1
21/07/21,1
22/07/21,1
23/07/21,1
24/07/21,1
25/07/21,1
26/07/21,1
27/07/21,0
28/07/21,1
29/07/21,0
30/07/21,1
31/07/21,0
01/08/21,0
02/08/21,1
03/08/21,0
04/08/21,0
05/08/21,1
06/08/21,1
07/08/21,1
08/08/21,1
09/08/21,1
10/08/21,1
11/08/21,1
12/08/21,1
13/08/21,1
14/08/21,1
15/08/21,1
16/08/21,1
17/08/21,0
18/08/21,0
19/08/21,0
20/08/21,0
21/08/21,0
22/08/21,1
23/08/21,0
24/08/21,0
25/08/21,0
26/08/21,0
27/08/21,0
28/08/21,1
29/08/21,0
30/08/21,0
31/08/21,1
01/09/21,0
02/09/21,1
03/09/21,1
04/09/21,0
05/09/21,0
06/09/21,0
07/09/21,0
08/09/21,0
09/09/21,1
10/09/21,0
11/09/21,0
12/09/21,0
13/09/21,1
14/09/21,0
15/09/21,0
16/09/21,1
17/09/21,0
18/09/21,0
19/09/21,0
20/09/21,0
21/09/21,0
22/09/21,0
23/09/21,1
24/09/21,0
25/09/21,0
26/09/21,1
27/09/21,0
28/09/21,1
29/09/21,0
30/09/21,1
01/10/21,1
02/10/21,1
03/10/21,1
04/10/21,0
05/10/21,0
06/10/21,0
07/10/21,0
08/10/21,1
09/10/21,0
10/10/21,0
11/10/21,0
12/10/21,0
13/10/21,0
14/10/21,0
15/10/21,0
16/10/21,0
17/10/21,1
18/10/21,1
19/10/21,0
20/10/21,0
21/10/21,0
22/10/21,0
23/10/21,1
24/10/21,0
25/10/21,0
26/10/21,0
27/10/21,0
28/10/21,0
29/10/21,0
30/10/21,0
31/10/21,0
01/11/21,0
02/11/21,0
03/11/21,0
04/11/21,1
05/11/21,0
06/11/21,0
07/11/21,1
08/11/21,1
09/11/21,1
10/11/21,0
11/11/21,0
12/11/21,1
13/11/21,0
14/11/21,1
15/11/21,1
16/11/21,0
17/11/21,0
18/11/21,0
19/11/21,0
20/11/21,0
21/11/21,0
22/11/21,0
23/11/21,1
24/11/21,1
25/11/21,1
26/11/21,1
27/11/21,0
28/11/21,0
29/11/21,1
30/11/21,0
01/12/21,0
02/12/21,0
03/12/21,0
04/12/21,0
05/12/21,1
06/12/21,0
07/12/21,0
08/12/21,0
09/12/21,1
10/12/21,0
11/12/21,0
12/12/21,0
13/12/21,0
14/12/21,1
15/12/21,0
16/12/21,0
17/12/21,1
18/12/21,0
19/12/21,0
20/12/21,1
21/12/21,0
22/12/21,1
23/12/21,1
24/12/21,0
25/12/21,1
26/12/21,0
27/12/21,0
28/12/21,0
29/12/21,0
30/12/21,0
31/12/21,1
01/01/22,1
02/01/22,1
03/01/22,1
04/01/22,0
05/01/22,0
06/01/22,0
07/01/22,1
08/01/22,0
09/01/22,0
10/01/22,0
11/01/22,0
12/01/22,0
13/01/22,0
14/01/22,0
15/01/22,0
16/01/22,0
17/01/22,1
18/01/22,1
19/01/22,0
20/01/22,0
21/01/22,0
22/01/22,0
23/01/22,1
24/01/22,0
25/01/22,0
26/01/22,0
27/01/22,0
28/01/22,0
29/01/22,1
30/01/22,0
31/01/22,1
01/02/22,1
02/02/22,1
03/02/22,1
04/02/22,0
05/02/22,1
06/02/22,1
07/02/22,1
08/02/22,1
09/02/22,1
10/02/22,1
11/02/22,0
12/02/22,0
13/02/22,1
14/02/22,1
15/02/22,1
16/02/22,1
17/02/22,1
18/02/22,0
19/02/22,0
20/02/22,1
21/02/22,0
22/02/22,1
23/02/22,0
24/02/22,0
25/02/22,0
26/02/22,1
27/02/22,0
28/02/22,0
01/03/22,1
02/03/22,0
03/03/22,0
04/03/22,0
05/03/22,1
06/03/22,1
07/03/22,1
08/03/22,0
09/03/22,0
10/03/22,0
11/03/22,0
12/03/22,1
13/03/22,0
14/03/22,0
15/03/22,0
16/03/22,0
17/03/22,1
18/03/22,0
19/03/22,1
20/03/22,1
21/03/22,0
22/03/22,1
23/03/22,1
24/03/22,1
25/03/22,0
26/03/22,0
27/03/22,1
28/03/22,0
29/03/22,1
30/03/22,0
31/03/22,0
01/04/22,1
02/04/22,1
03/04/22,1
04/04/22,1
05/04/22,0
06/04/22,0
07/04/22,0
08/04/22,1
09/04/22,0
10/04/22,1
11/04/22,0
12/04/22,0
13/04/22,1
